Show Number, Air Date, Round, Category, Value, Question
3,9/11/80,Jeopardy!,U.S. HISTORY,$100,This colonial inventor suggested Daylight Saving Time
3,9/11/80,Jeopardy!,3-LETTER WORDS,$100,"A fedora, homburg or derby"
3,9/11/80,Jeopardy!,AUTOMOBILES,$100,"He'd build you a Model T ""in any color, so long as it was black"""
3,9/11/80,Jeopardy!,BROADWAY,$100,4-letter play about 9-lived creatures
3,9/11/80,Jeopardy!,ANIMALS,$100,"Scooby-Doo, Goofy & Pluto are cartoon versions"
3,9/11/80,Jeopardy!,ROYALTY,$100,"While on the Riviera, she made ""To Catch a Thief"" & caught a prince"
3,9/11/80,Jeopardy!,U.S. HISTORY,$200,"On the eve of the Civil War, some 2,000 slaveholders were of this race"
3,9/11/80,Jeopardy!,3-LETTER WORDS,$200,Quixote or Drysdale
3,9/11/80,Jeopardy!,AUTOMOBILES,$200,"This toy company builds more cars than Ford, G.M. & Chrysler combined"
3,9/11/80,Jeopardy!,BROADWAY,$200,"""The avenue we're taken to"" in this long-running toe-tapper"
3,9/11/80,Jeopardy!,ANIMALS,$200,"""Eager"" animal that symbolizes Canada"
3,9/11/80,Jeopardy!,ROYALTY,$200,"King for 72 years, he devoted more than 40 to building Versailles"
3,9/11/80,Jeopardy!,3-LETTER WORDS,$300,"Opposite of flow, tides do it"
3,9/11/80,Jeopardy!,AUTOMOBILES,$300,"Powered by this, the Stanley Special won in Daytona in 1907 at 197 MPH"
3,9/11/80,Jeopardy!,BROADWAY,$300,Nickname of the American Theatre Wing's Antoinette Perry Award
3,9/11/80,Jeopardy!,ANIMALS,$300,"They include killers, humpbacks & sperms"
3,9/11/80,Jeopardy!,ROYALTY,$300,"Temporarily exiled in '53, this Islamic ruler was permanently banished in '79"
3,9/11/80,Jeopardy!,3-LETTER WORDS,$400,"Where things are nipped in, or Lou's partner"
3,9/11/80,Jeopardy!,AUTOMOBILES,$400,"In Japan it's called ""rasshu awa""; in L.A, 4 to 6 P.M."
3,9/11/80,Jeopardy!,BROADWAY,$400,"2-time Academy Award winner who reprised ""Little Foxes"" in 1980"
3,9/11/80,Jeopardy!,ROYALTY,$400,"Royal families of Germany, Russia, Denmark & Greece could call her ""the grandmother of Europe"""
3,9/11/80,Jeopardy!,3-LETTER WORDS,$500,"Some people have a quick one, which beats a 东 one"
3,9/11/80,Jeopardy!,AUTOMOBILES,$400,"Models of Ford, Chrysler, & Cadillac are all named for cities in this S. European country"
3,9/11/80,Jeopardy!,BROADWAY,$500,100s of former cast members appeared onstage when it became longest-running show
3,9/11/80,Jeopardy!,ANIMALS,$500,Tibetan ox used to carry travelers and mail
3,9/11/80,Jeopardy!,ROYALTY,$500,"Country where Queens Beatrix, Wilhelmina & Juliana were inaugurated, not crowned"
3,9/11/80,Double Jeopardy!,NEW TESTAMENT,$200,Jesus' first miracle was to turn water into this
3,9/11/80,Double Jeopardy!,COLLEGES,$200,"A type of shoe or cloth, or where a Rhodes scholarship will get you"
3,9/11/80,Double Jeopardy!,WORLD OF FOOD,$200,"Like chop suey, this Chinese sweet was invented in America"
3,9/11/80,Double Jeopardy!,BASEBALL,$200,Before 1859 they sat in padded rocking chairs behind the catcher
3,9/11/80,Double Jeopardy!,ASTRONOMY,$200,"Self-luminous gaseous body, or hollywood ""celeb"""
3,9/11/80,Double Jeopardy!,NEW TESTAMENT,$400,"According to both New & Old Testaments, how ""thou shalt love they neighbor"""
3,9/11/80,Double Jeopardy!,COLLEGES,$400,"Home of over 52,000 Buckeyes"
3,9/11/80,Double Jeopardy!,WORLD OF FOOD,$400,"When its coffee crop was destroyed around 1870, Ceylon switched to growing this"
3,9/11/80,Double Jeopardy!,ASTRONOMY,$400,"The evening or morning ""star"" is really this planet"
3,9/11/80,Double Jeopardy!,NEW TESTAMENT,$600,"The ""sea"" that Jesus walked on"
3,9/11/80,Double Jeopardy!,COLLEGES,$600,"Latin for field, or college grounds"
3,9/11/80,Double Jeopardy!,MOUNTAINS,$600,First volcano to erupt in continental U.S. since 1921
3,9/11/80,Double Jeopardy!,WORLD OF FOOD,"$1,000","What Merv has a lovely bunch of in <a href=""http://www.j-archive.com/media/1984-09-19_DJ_16.mp3"">this</a> song:"
3,9/11/80,Double Jeopardy!,ASTRONOMY,$600,"Planet once thought unique, it no longer runs ""rings"" around its neighbors"
3,9/11/80,Double Jeopardy!,NEW TESTAMENT,$800,"In Damascus, ""the scales fell from his eyes"""
3,9/11/80,Double Jeopardy!,COLLEGES,$800,"In 1934, Gerald Ford was voted MVP of this school's football team"
3,9/11/80,Double Jeopardy!,MOUNTAINS,$800,Home to alpacas & llamas
3,9/11/80,Double Jeopardy!,WORLD OF FOOD,$800,"French for ""sour wine"", one variety is literally just that"
3,9/11/80,Double Jeopardy!,ASTRONOMY,$800,"Launched Oct. 4th, 1957, it was Earth's 1st artificial satellite"
3,9/11/80,Double Jeopardy!,NEW TESTAMENT,"$1,500","""Blessed are"" these ""for they shall be called the children of God"""
3,9/11/80,Double Jeopardy!,COLLEGES,"$1,000","Women's college that shares Harvard's classes, housing & facilities but still is separate"
3,9/11/80,Double Jeopardy!,MOUNTAINS,"$1,000","Tibetans call it Chomolunga, Nepalese call it Sagarmatha, both call it theirs"
3,9/11/80,Double Jeopardy!,WORLD OF FOOD,"$1,000","Stem of a variety of lily, known in Old England as ""sparrow grass"""
3,9/11/80,Double Jeopardy!,ASTRONOMY,"$1,000",Only planet to have seasons similar to Earth's
3,9/11/80,Final Jeopardy!,LANGUAGE,None,It is the 2nd most spoken language in the world
4,9/12/80,Jeopardy!,GEOGRAPHY,$100,"Christmas, Easter, or Bermuda, for example"
4,9/12/80,Jeopardy!,BY THE NUMBERS,$100,"The 1st asked in this game is usually ""Animal, vegetable or mineral?"""
4,9/12/80,Jeopardy!,TOYS & GAMES,$100,Number of pockets on a pool table
4,9/12/80,Jeopardy!,TRANSPORTATION,$100,"It could be paddle wheel, cargo or tramp"
4,9/12/80,Jeopardy!,FLOWERS & TREES,$100,"Its seed is used in baking, but 1 type produces opium"
4,9/12/80,Jeopardy!,TRIVIA,$100,In 1983 Americans used over 1冬 million gallons of this beach product
4,9/12/80,Jeopardy!,GEOGRAPHY,$200,"Europe's only wild monkeys live on this ""rock"""
4,9/12/80,Jeopardy!,BY THE NUMBERS,$200,The two point values an ace can have in blackjack
4,9/12/80,Jeopardy!,TOYS & GAMES,$200,Color that always has opening move in chess
4,9/12/80,Jeopardy!,TRANSPORTATION,$200,"Charlton Heston was ""on track"" with it in ""Ben Hur"""
4,9/12/80,Jeopardy!,FLOWERS & TREES,$200,"Long associated with Lebanon, this tree is on its flag"
4,9/12/80,Jeopardy!,TRIVIA,$200,"When it was rung for Chief Justice John Marshall's funeral, it cracked"
4,9/12/80,Jeopardy!,GEOGRAPHY,$300,"1/3 the size of U.S., this royal kingdom has no rivers or lakes but lots of oil"
4,9/12/80,Jeopardy!,BY THE NUMBERS,$300,"Police precinct Barney Miller ""dozen"" work at any more"
4,9/12/80,Jeopardy!,TOYS & GAMES,$300,"Versions of this board game take place in London, Madrid, & Atlantic City"
4,9/12/80,Jeopardy!,TRANSPORTATION,$500,"Vehicle Butch Cassidy rode during <a href=""http://www.j-archive.com/media/1984-09-20_J_21.mp3"">this</a> song:"
4,9/12/80,Jeopardy!,TRIVIA,$300,"""Kingdom"" that Khrushchev couldn't visit in 1959 U.S. trip"
4,9/12/80,Jeopardy!,GEOGRAPHY,$400,Largest country entirely in Europe
4,9/12/80,Jeopardy!,BY THE NUMBERS,$400,A race run by couples tied together at the ankle
4,9/12/80,Jeopardy!,TOYS & GAMES,$400,Binney & Smith makes them in 64 colors
4,9/12/80,Jeopardy!,TRIVIA,$400,"Dr. Seuss' egg-hatching elephant who was ""faithful, 100%"""
4,9/12/80,Jeopardy!,GEOGRAPHY,$500,"Clocks in Lima, Peru, read the same as in this U.S. time zone"
4,9/12/80,Jeopardy!,BY THE NUMBERS,$500,"Musical about Continental Congress, it included song ""Sit Down, John"""
4,9/12/80,Jeopardy!,TOYS & GAMES,$500,She's been a teenage fashion model for over 25 years
4,9/12/80,Jeopardy!,TRIVIA,$500,It spent the night in a discount-house parking lot before heading to L.A. Coliseum
4,9/12/80,Double Jeopardy!,THE CIVIL WAR,$200,Lincoln's four brothers-in-law all served in this army
4,9/12/80,Double Jeopardy!,ANATOMY,$200,"Mark Anthony borrowed them, then bent them"
4,9/12/80,Double Jeopardy!,MOVIES,$200,"To Dustin Hoffman this '82 film was a ""drag"""
4,9/12/80,Double Jeopardy!,STATE CAPITALS,$200,"It succeeded Fort Whipple, Prescott, & Tucson as capital"
4,9/12/80,Double Jeopardy!,ALPHABET SOUP,$200,He's the heavyweight of the A-Team
4,9/12/80,Double Jeopardy!,BUSINESS & INDUSTRY,$200,"""Body-building"" brand of bread from ""the bakery people of IT&T"""
4,9/12/80,Double Jeopardy!,THE CIVIL WAR,$400,"Though shots fired at this garrison started the war, no casualties resulted"
4,9/12/80,Double Jeopardy!,ANATOMY,$400,Over 东 of these are in your hands & feet
4,9/12/80,Double Jeopardy!,MOVIES,$400,"Film featuring March & Gaynor, Garland & Mason or Streisand & Kristofferson"
4,9/12/80,Double Jeopardy!,STATE CAPITALS,$400,Lincoln lived & practiced law here for 25 years before becoming president
4,9/12/80,Double Jeopardy!,ALPHABET SOUP,$400,Caveman comic strip created by Johnny Hart
4,9/12/80,Double Jeopardy!,BUSINESS & INDUSTRY,$400,"In 1978, this German co. became first foreign automaker to make cars here"
4,9/12/80,Double Jeopardy!,THE CIVIL WAR,$600,He was Lincoln's first choice to lead the Union army
4,9/12/80,Double Jeopardy!,ANATOMY,$600,Number of chambers in a judge's heart
4,9/12/80,Double Jeopardy!,MOVIES,$600,"In '84 he's a destroyer, in '82 he was just a barbarian"
4,9/12/80,Double Jeopardy!,STATE CAPITALS,$600,"1 of 4 state capitals that end in word ""City"""
4,9/12/80,Double Jeopardy!,ALPHABET SOUP,$600,Letter shared by sensuous woman author & 76'ers Doctor
4,9/12/80,Double Jeopardy!,BUSINESS & INDUSTRY,$600,This company owns the world's tallest building
4,9/12/80,Double Jeopardy!,THE CIVIL WAR,$800,State that seceded from state that seceded
4,9/12/80,Double Jeopardy!,ANATOMY,$800,"The body has over 60,000 miles of them"
4,9/12/80,Double Jeopardy!,MOVIES,$800,Walter Matthau & Tony Curtis both coached this kids' baseball team
4,9/12/80,Double Jeopardy!,ALPHABET SOUP,$800,What Bo Derek would have been in ancient Rome
4,9/12/80,Double Jeopardy!,BUSINESS & INDUSTRY,$800,Piggly Wiggly stores were the first of these
4,9/12/80,Double Jeopardy!,THE CIVIL WAR,"$1,000","General Nicknamed ""Uncle Billy"" who believed in total war"
4,9/12/80,Double Jeopardy!,ANATOMY,"$3,500","Prominent zygomatic bones, considered an attractive facial feature"
4,9/12/80,Double Jeopardy!,MOVIES,"$1,000","Went from bit part in film ""Little Shop of Horrors"" to Oscars for Best Actor & Best Support"
4,9/12/80,Double Jeopardy!,ALPHABET SOUP,"$1,000",Binet & Simon's measure of mental age
4,9/12/80,Final Jeopardy!,AMERICAN GOVERNMENT,None,"Since 1970, the only cabinet department not headed by a secretary"
5,9/13/80,Jeopardy!,AMERICAN LITERATURE,$100,Melville's white whale tale
5,9/13/80,Jeopardy!,ALL NUMBERS,$100,"It was ""enough"" for Dick van Patten"
5,9/13/80,Jeopardy!,RELIGION,$100,Country that is home to Parsis & Sikhs
5,9/13/80,Jeopardy!,TRIVIA,$100,"""Only you can prevent forest fires"""
5,9/13/80,Jeopardy!,NATIONAL PARKS,$100,"Due to earthquakes, this Yellowstone geyser no longer erupts on time"
5,9/13/80,Jeopardy!,TRIOS,$100,D'Artagnan's best buddies
5,9/13/80,Jeopardy!,AMERICAN LITERATURE,$200,"Lincoln called it ""the book that caused the big war"""
5,9/13/80,Jeopardy!,ALL NUMBERS,$200,"A teen's ""sweet"" age"
5,9/13/80,Jeopardy!,RELIGION,$200,More common name for The Watchtower Bible & Tract Society
5,9/13/80,Jeopardy!,TRIVIA,$200,Nickname of our 16th president & Li'l Abner's son
5,9/13/80,Jeopardy!,NATIONAL PARKS,$200,Logs in this forest may be 150 million years old
5,9/13/80,Jeopardy!,TRIOS,$200,"With them under foot, Uncle Donald's life wasn't duck soup"
5,9/13/80,Jeopardy!,AMERICAN LITERATURE,$300,"Steinbeck novel dubbed ""the <u>Uncle Tom's Cabin</u> of the Depression"""
5,9/13/80,Jeopardy!,RELIGION,$300,Some 3 million pilgrims visit this small French town annually
5,9/13/80,Jeopardy!,TRIVIA,$300,"Though this actress' cat is named for Buster Keaton, she's really no relation"
5,9/13/80,Jeopardy!,NATIONAL PARKS,$300,There are still unexplored areas of these New Mexico caves
5,9/13/80,Jeopardy!,TRIOS,$300,"""Candy Man"" who began with the Will Mastin Trio"
5,9/13/80,Jeopardy!,AMERICAN LITERATURE,$400,"He gave Hester a scarlet ""A"""
5,9/13/80,Jeopardy!,TRIVIA,$400,"Above this I.Q. mark, you're considered a genius"
5,9/13/80,Jeopardy!,NATIONAL PARKS,$400,"Mount Whitney, highest point in lower 48 states, is in this park named for its trees"
5,9/13/80,Jeopardy!,TRIOS,$400,Classic TV puppet show which also featured Beulah Witch & Delores Dragon
5,9/13/80,Jeopardy!,AMERICAN LITERATURE,$500,"Great-grand nephew of Francis Scott Key, he was the voice of the Jazz Age"
5,9/13/80,Jeopardy!,TRIVIA,$500,State name that's misspelled on the Liberty Bell
5,9/13/80,Jeopardy!,NATIONAL PARKS,$500,"This southern subtropical wilderness is home to manatees & TV's ""Gentle Ben"""
5,9/13/80,Jeopardy!,TRIOS,$500,"Apollo II trio; while Collins circled Moon, these 2 landed"
5,9/13/80,Double Jeopardy!,CHEMISTRY,$200,Coal & diamonds both consist of it
5,9/13/80,Double Jeopardy!,THE PRESS,$200,"It carries the motto ""All the news that's fit to print"""
5,9/13/80,Double Jeopardy!,TRAVEL & TOURISM,$200,"Although this Roman arena could hold 50,000, it's not on the Jackson tour"
5,9/13/80,Double Jeopardy!,"STARTS WITH ""J""",$200,The first Mrs. Bonaparte
5,9/13/80,Double Jeopardy!,SHAKESPEARE,$200,"Hamlet found ""something rotten"" in this country"
5,9/13/80,Double Jeopardy!,SPORT OF KINGS,$200,Horse racing was a sport at these ancient Greek contests
5,9/13/80,Double Jeopardy!,CHEMISTRY,$400,Common kitchen substance known chemically as sodium chloride
5,9/13/80,Double Jeopardy!,THE PRESS,$400,First published in 1889 by the Dow Jones Co.
5,9/13/80,Double Jeopardy!,TRAVEL & TOURISM,$400,Date just west of this is 1 day later than the date just east
5,9/13/80,Double Jeopardy!,"STARTS WITH ""J""",$400,A puzzle people go to pieces over
5,9/13/80,Double Jeopardy!,SHAKESPEARE,$400,"The Moor who loved Desdemona ""not wisely, but too well"""
5,9/13/80,Double Jeopardy!,SPORT OF KINGS,$400,"Collective name of Kentucky Derby, Preakness, & Belmont Stakes"
5,9/13/80,Double Jeopardy!,CHEMISTRY,"$1,000","The chemical symbol for sulfuric acid, it completes <a href=""http://www.j-archive.com/media/1984-09-21_DJ_19.mp3"">this</a> poem:  <i>""Say farewell to the professor He'll be with us no more For what he thought was H<sub>2</sub>O Was...""</i>"
5,9/13/80,Double Jeopardy!,THE PRESS,$600,"Harvard Lampoon alumnus, by 1937 he owned 25 daily newspapers & a California castle"
5,9/13/80,Double Jeopardy!,"STARTS WITH ""J""",$600,"The police say ""fine"" for crossing the street this way"
5,9/13/80,Double Jeopardy!,SHAKESPEARE,$600,"Battle of the sexes on which musical ""Kiss Me Kate"" was based"
5,9/13/80,Double Jeopardy!,SPORT OF KINGS,$600,"Billy the Cobbler, or a famous jockey"
5,9/13/80,Double Jeopardy!,CHEMISTRY,$800,"Used in cars' catalytic converters, it's more expensive than gold"
5,9/13/80,Double Jeopardy!,TRAVEL & TOURISM,$800,"Official endorsement to show validity of a passport, or a major credit card"
5,9/13/80,Double Jeopardy!,"STARTS WITH ""J""","$3,000","The only ""J"" in the Pledge of Allegiance"
5,9/13/80,Double Jeopardy!,SHAKESPEARE,$800,Chubby character who loved his ale & supplied the name for one
5,9/13/80,Double Jeopardy!,SPORT OF KINGS,$800,"Since 1936, because of this, horses ""say cheese"" at the end of races"
5,9/13/80,Double Jeopardy!,CHEMISTRY,"$1,000",U.S. & Canada produce almost entire world supply of this lightest inert gas
5,9/13/80,Double Jeopardy!,THE PRESS,"$1,000",The official news agency of the Soviet Union
5,9/13/80,Double Jeopardy!,TRAVEL & TOURISM,"$1,000","Currency of Liechtenstein, Luxembourg & Andorra"
5,9/13/80,Double Jeopardy!,"STARTS WITH ""J""","$1,000",Event an Olympian throws
5,9/13/80,Double Jeopardy!,SHAKESPEARE,"$1,000",She was 8 years older & 3 months pregnant when Shakespeare married her
5,9/13/80,Double Jeopardy!,SPORT OF KINGS,"$1,000",All U.S. thoroughbreds are officially born on this day of the year
5,9/13/80,Final Jeopardy!,THE OLYMPICS,None,"Of the 5 continents symbolized by Olympic rings, only one never to hold Games"
9,9/19/80,Jeopardy!,FICTION,$100,"Shakespeare's ""star-crossed"" lovers"
9,9/19/80,Jeopardy!,FIRST LADIES,$100,"She talked to Arnold's class about drugs on TV's ""Diff'rent Strokes"""
9,9/19/80,Jeopardy!,MYSTERIES,$100,Dashiell Hammett detective played on the screen by Humphrey Bogart
9,9/19/80,Jeopardy!,RACY LADIES,$100,"Driving with a broken wrist, Janet Guthrie was the 1st woman to compete in this race"
9,9/19/80,Jeopardy!,ADDRESSES,$100,The prime minister of England lives here
9,9/19/80,Jeopardy!,TRIVIA,$100,They were formerly called the Sandwich Islands
